"","date","births","dayofyear","wday"
"304",2015-10-31,8049,304,"Sat"
"305",2015-11-01,7731,305,"Sun"
"306",2015-11-02,12236,306,"Mon"
"307",2015-11-03,12524,307,"Tues"
"308",2015-11-04,12279,308,"Wed"
"309",2015-11-05,12452,309,"Thurs"
"310",2015-11-06,11909,310,"Fri"
"311",2015-11-07,8517,311,"Sat"
"312",2015-11-08,7324,312,"Sun"
"313",2015-11-09,11688,313,"Mon"
"314",2015-11-10,12451,314,"Tues"
"315",2015-11-11,12311,315,"Wed"
"316",2015-11-12,12329,316,"Thurs"
"317",2015-11-13,11643,317,"Fri"
"318",2015-11-14,8221,318,"Sat"
"319",2015-11-15,7378,319,"Sun"
"320",2015-11-16,11791,320,"Mon"
"321",2015-11-17,12321,321,"Tues"
"322",2015-11-18,12230,322,"Wed"
"323",2015-11-19,12504,323,"Thurs"
"324",2015-11-20,12495,324,"Fri"
"325",2015-11-21,8392,325,"Sat"
"326",2015-11-22,7427,326,"Sun"
"327",2015-11-23,12419,327,"Mon"
"328",2015-11-24,13051,328,"Tues"
"329",2015-11-25,11745,329,"Wed"
"330",2015-11-26,7332,330,"Thurs"
"331",2015-11-27,8942,331,"Fri"
"332",2015-11-28,7734,332,"Sat"
"333",2015-11-29,7230,333,"Sun"
"334",2015-11-30,12214,334,"Mon"
"335",2015-12-01,13185,335,"Tues"
"336",2015-12-02,12708,336,"Wed"
"337",2015-12-03,12281,337,"Thurs"
"338",2015-12-04,11828,338,"Fri"
"339",2015-12-05,8262,339,"Sat"
"340",2015-12-06,7194,340,"Sun"
"341",2015-12-07,11567,341,"Mon"
"342",2015-12-08,12328,342,"Tues"
"343",2015-12-09,11857,343,"Wed"
"344",2015-12-10,12259,344,"Thurs"
"345",2015-12-11,11406,345,"Fri"
"346",2015-12-12,8073,346,"Sat"
"347",2015-12-13,7262,347,"Sun"
"348",2015-12-14,11753,348,"Mon"
"349",2015-12-15,12437,349,"Tues"
"350",2015-12-16,12282,350,"Wed"
"351",2015-12-17,12339,351,"Thurs"
"352",2015-12-18,12247,352,"Fri"
"353",2015-12-19,8368,353,"Sat"
"354",2015-12-20,7361,354,"Sun"
"355",2015-12-21,12692,355,"Mon"
"356",2015-12-22,13131,356,"Tues"
"357",2015-12-23,11595,357,"Wed"
"358",2015-12-24,8714,358,"Thurs"
"359",2015-12-25,6515,359,"Fri"
"360",2015-12-26,7294,360,"Sat"
"361",2015-12-27,7518,361,"Sun"
"362",2015-12-28,13100,362,"Mon"
"363",2015-12-29,13458,363,"Tues"
"364",2015-12-30,13100,364,"Wed"
"365",2015-12-31,11608,365,"Thurs"
